Company Name,Fortune 100/500 rank,Industry,Quote/Statement(s),Source Title,Source URL,Date Published,Source Type,Search Prompt Used,Relevant to Internal AI Workflow Use/Aug?,Relevant to Automation Impact?,Primary Relevance,Credible Commitment,Include in Final Dataset,Notes/Any relevant thoughts/analysis,Stopwords,Characterizing Words,,,Coder initials
UPS,47,"Mail, Package, and Freight Delivery","Artificial intelligence and data automation now play a central role in daily operations.” In call centers, machine-learning systems route inquiries based on needs and resolution times, reducing wait times and increasing first-call resolution. ",What UPS’s reinvention reveals about modernizing a nearly 120-year-old company,https://fortune.com/article/ups-reinvention-reveal-modernizing-ai/,11/10/25,Business press / executive interview,1,No,Yes,Automating tasks,,Yes,shows AI is embedded in daily operations. It’s less detailed on employee development.,"the
and
of
to
in
for
with
on
at
by
from
it
this
that
these
those
is
are
was
were
be
been
being
have
has
had
can
could
should
may
might
will
would
we
our
they
their
them
its
a
an
as
or
but
if
than
then
into
over
under
across
through
while
also
more
most
some
each
every
all
both
much
many
now
still
once
last
earlier
daily
inside
rather
solely
amid
however
not
UPS
Wall
Street
Matt
Guffey
Happy
Returns
company
companies
carriers
customers
people
workers
positions
roles
organization
business
model
operations
officer
chief
commercial
quarter
period
drive
approach
challenges
notes
says
said
acknowledges
adds
describes
includes
plans
working
help
reflect
offer
built
comes
fade
long
short-term
term
120th
century
thousands
34,000
93
70
percent","beat
profit
expectations
driven
stronger
demandcost
cuts
eliminated
jobs
closed
facilities
increase
projections
broad
restructuring
aimed
stabilizing
margins
sluggish
growth
rising
expenses
structural
transformation
reorientation
shifting
away
low-margin
e-commerce
deliveries
industrial
healthcare
supply-chain
clients
steadier
higher-value
contracts
artificial
intelligence
data
automation
central
role
machine-learning
systems
route
inquiries
expected
resolution
times
reducing
increasing
issues
resolved
first
optimize
delivery
routes
manage
capacity
forecast
automation
brought
workforce
eliminated
consolidates
automates
tasks
handled
transition
responsibly
communication
timing
inform
upskill
different
areas
redeploy
focused
analytics
network
efficiency
experience
accelerating
profitability
innovation
cultural
modernization
tension
legacy
dominated
market
product
returns
consumer
expectations
shifted
dramatically
shoppers
faster
easier
sustainable
options
boxes
labels
minimal
friction
seamless
digital
integration
real-time
updates
flexible
drop-off
points
reduced
packaging
waste
acquiring
startup
platform
aligns
modern
convenience
sustainability
signaled
willingness
buy
speed
reliability
consolidation
logistics
industry
rival
pressures
softer
labor
costs
ripple
trade
policies
tariff
uncertainty
sustaining
immediate
benefits
job
reductions
facility
closures
leaner
sharply
focused
rebuilds
selective
service
consistency
defined
reputation",,,AG
UPS,47,"Mail, Package, and Freight Delivery","CFO Dykes said during the Jan. 27 earnings call that UPS will reduce total operational hours by approximately 25 million and “further deploy automation” across its network as part of the transformation. The automation wrinkle creates workforce planning complexity as HR leaders must manage headcount reduction while potentially hiring for new technical roles to support automated systems. UPS reported fourth-quarter revenue of $24.5 billion, exceeding analyst estimates, and projected 2026 revenue of $89.7 billion.","UPS cuts 30,000 more jobs as Amazon pivot reshapes workforce strategy",https://hrexecutive.com/ups-cuts-30000-more-jobs-as-amazon-pivot-reshapes-workforce-strategy/,1/29/26,Trade coverage ,2,No,Yes,Automating tasks,,Yes,"The reported cuts are tied mainly to network restructuring and volume changes, but they sit alongside UPS’s automation push and are central to understanding headcount impact.","the
and
of
to
in
for
with
on
at
by
from
it
this
that
these
those
is
are
was
were
be
been
being
have
has
had
can
could
should
may
might
will
would
we
our
they
their
them
its
a
an
as
or
but
if
than
then
into
over
under
across
through
while
also
more
most
some
each
every
all
both
much
many
now
recent
during
after
before
second
two
years
2024
2025
2026
January
27
30,000
48,000
34,000
14,000
78,000
25
1.2
15%
27%
6.3
3
24.5
89.7
UPS
Amazon
FedEx
Reuters
HR
Executive
Challenger
Gray
Christmas
Christine
Belmonte
Brian
Dykes
Gartner
Forrester
Geodis
Pitney
Bowes
The
Planet
Group
company
logistics
firm
leader
analysts
call
investor
reported
reports
said
told
according
cited
found
announced
expects
projected
reported
recent
full-time
single
own
itself
across
all
sectors
roles
positions
workers
workforce
headcount
talent
employees
customers
organization
organizations
business
models
strategy
strategies
planning
case
template
approach
mechanisms","eliminate
operational
attrition
voluntary
buyouts
consecutive
major
reductions
shipments
higher-margin
cuts
management
reductions
turbulent
labor
market
voluntary
separation
unionized
achievement
specialized
tech
developers
data
engineers
cloud
paradox
struggling
critical
technical
remix
evolving
goals
simply
cutting
operational
hours
further
deploy
automation
network
transformation
creates
complexity
manage
hiring
support
automated
systems
restructuring
shift
high-volume
e-commerce
healthcare
different
capabilities
material
transport
demands
specialized
handling
temperature
control
expertise
regulatory
compliance
knowledge
standard
package
delivery
skills
creating
retraining
imperatives
acquisition
cultural
impact
consideration
disengaged
deserves
energy
colleagues
laid
off
initiatives
materialized
managing
morale
multi-year
critical
concentration
risk
factor
dictated
size
composition
facility
commercial
directly
drives
requirements
volume
delivery
network
packages
timing
impacts
capacity
displaces
illustrates
operating
partner
savings
optimization
revenue
exceeding
estimates",,,AG
UPS,47,"Mail, Package, and Freight Delivery","UPS has eliminated 43,000 positions over three years through strategic AI and machine learning implementations that shift package processing from labor-intensive facilities to automated hubs. UPS reduced labor hours by nearly 10% by leveraging AI and machine learning to redirect package volume from manual sorting facilities to automated processing centers.","UPS Deploys AI Automation to Replace 43,000 Workers",https://www.traxtech.com/ai-in-supply-chain/ups-deploys-ai-automation-to-replace-43000-workers,6/30/25,Industry blog / analysis,2,No,Yes,Automating tasks,,Yes,Useful analytical secondary source about how UPS layoffs can be interpreted in an industry wide context. The framing by UPS execs who emphasize reskilling without mentioning this is of note.,"the
and
of
to
in
for
with
on
at
by
from
it
this
that
these
those
is
are
was
were
be
been
being
have
has
had
can
could
should
may
might
will
would
we
our
they
their
them
its
a
an
as
or
but
if
than
then
into
over
under
across
through
while
also
more
most
some
each
every
all
both
much
many
during
however
rather
simply
new
recent
three
year
years
2020
2023
2024
10%
8%
75%
79%
25-40%
43,000
29,000
12,000
543,000
500,000
1
AI
UPS
FedEx
Carol
Tomé
Dean
Maciuba
Jeremy
Tancredi
Crossroads
Parcel
Consulting
International
Brotherhood
Teamsters
companies
carriers
customers
employees
workers
human
labor
positions
management
manager
executives
organization
operations
operational
processes
systems
tool
capabilities
implementation
strategy
strategic
strategies
approach
approaches
industry
model
success
key
takeaways
driven
says
said
suggests
praised
reflects
demonstrates
provided
maintaining
maintain
remaining
facing
focused
close
end
half
part
beyond
across
within
other
all
same
similar
solely","eliminated
additional
cuts
planned
aggressive
reduction
shift
package
processing
labor-intensive
facilities
automated
hubs
workforce
requirements
optimization
reduced
hours
capacity
contract
negotiations
demand
sales
pricing
acceleration
win
rates
customer-facing
functions
organizational
restructuring
supervisory
layers
displacement
cost
reductions
manual
sorting
centers
technological
transformation
temporarily
competitor
services
cover
headcount
dropped
systematic
deployment
response
pandemic-driven
volume
surges
hiring
increases
normalization
opportunities
headcount
closing
shifts
reducing
air
cargo
network
block
hours
intelligent
concentrates
contracted
annual
savings
exceed
speeds
accuracy
pricing
quotes
deal
scored
relationship-dependent
superior
results
minimal
intervention
small
medium-sized
business
requests
generate
quotes
close
deals
faster
consistency
interactions
parallel
timing
recognition
replace
logistics
unique
challenges
union
increased
wage
pressures
alternatives
traditional
wage
negotiations
enabled
fewer
coordination
complexity
facilities
decision-making
oversight
optimize
routing
manage
exceptions
coordinate
autonomously
effectiveness
competitive
advantages
service
displaced
integrated
expertise
competitors
transferring
valuable
knowledge
rival
profitability
volume
growth
sustainable
efficiency
scalability
deliver
economics
supplychain
phased
service
levels
role
transformation
enhancement",,,AG
Berkshire Hathaway,8,Conglomerate / Insurance,"“Geico cut more than 2,300 jobs last year.” Ajit Jain also praised GEICO leadership for reducing the company’s workforce while improving efficiency and telematics capabilities.",Berkshire's Jain says Geico has made “rapid strides”,https://www.reuters.com/business/berkshires-jain-says-geico-has-made-rapid-strides-2025-05-03/,05/03/25,Earnings call / investor communication,2,No,Yes,Automating tasks,High,Yes,Strong automation logic because workforce reduction is directly tied to operational efficiency and technology adoption; labor-demand reduction is explicit,Berkshire; GEICO; Reuters; Jain,Berkshire; GEICO; Reuters; Jain,,,RB
Berkshire Hathaway,8,Conglomerate / Insurance,"GEICO “reduced the insurer’s headcount from approximately 50,000 to roughly 20,000” as part of its turnaround efforts focused on operational streamlining and technology improvements.",Berkshire’s Geico Has Cut Thousands of Jobs in Turnaround Effort,https://www.bloomberg.com/news/articles/2025-05-03/berkshire-s-geico-has-cut-thousands-of-jobs-in-turnaround-effort,05/04/25,Earnings call / investor communication,2,No,Yes,Automating tasks,High,Yes,"Extremely strong labor-demand reduction logic; while AI is not explicitly named in the quote, technology modernization and efficiency improvements are central to the restructuring narrative",,Berkshire; GEICO; Bloomberg; insurer,,,RB
Berkshire Hathaway,8,Conglomerate / Insurance,"Berkshire subsidiaries are using AI to “free workers from administrative tasks,” while maintaining a “narrow AI” strategy where humans still make decisions and safeguards remain in place.",4 of Warren Buffett's Berkshire CEOs told us how they're harnessing AI in their businesses,https://www.businessinsider.com/warren-buffett-berkshire-ai-dq-squishmallows-brooks-sees-abel-meeting-2026-5,05/06/26,Executive interview / quoted remarks,1,Yes,No,Augmentation/internal workflow use,Medium,Yes,"Strong augmentation/internal workflow row because AI is framed as freeing workers from administrative tasks while humans still make decisions and safeguards remain in place. No explicit layoffs, reduced hiring, or labor-demand reduction are stated in this source.",,Berkshire; Business Insider; CEOs; Warren Buffett,free workers; administrative tasks; human decisions; safeguards,,RB
General Motors,19,Automotive,GM will use Nvidia AI chips and software “to automate vehicles and factories.”,"GM to use Nvidia AI chips, software to automate vehicles and factories",https://www.reuters.com/technology/artificial-intelligence/gm-use-nvidia-ai-chips-software-automate-vehicles-factories-2025-03-18/,03/18/2025,Press release / executive quoted remarks,2,No,Yes,Automating tasks,High,Yes,"Strong automation row because the source directly connects AI software/chips to automating factory operations. This is about taking over or reducing manual workflow steps, not just helping employees.",,GM; Nvidia; Reuters; vehicles,automate; factories; AI chips; software,,RB
General Motors,19,Automotive,"“GM is leveraging AI technology to enhance safety, improve quality, and enable efficiency in our manufacturing facilities.”",Using AI to advance manufacturing at General Motors,https://www.gm.com/company/artificial-intelligence,03/11/2025,Company blog / newsroom article,1,Yes,No,Augmentation/internal workflow use,High,Yes,"AI is framed as supporting manufacturing employees through safety, quality, and efficiency improvements while keeping workers central to operations; no explicit labor reduction logic",,GM; manufacturing; facilities; technology,enhance safety; improve quality; enable efficiency; manufacturing,,RB
General Motors,19,Automotive,“GM plans to launch Google AI and other advanced technologies across its vehicle ecosystem while continuing to integrate automation and software-driven efficiencies into operations.”,"GM plans to launch eyes-off driving, Google AI and other new in-vehicle tech by 2028",https://www.cnbc.com/2025/10/22/gm-tech-google-ai.html,10/22/2025,Executive interview / quoted remarks,2,No,Yes,General corporate strategy,Medium,No,"This is more of a broad product and technology strategy source than a clean internal workflow or labor-impact source. It discusses Google AI, vehicle technology, and software-driven efficiencies, but does not provide clear evidence of employee augmentation or workforce automation.",,GM; CNBC; Google; vehicle ecosystem,automation; software efficiencies; advanced technologies; operations,,RB
Target,41,General Merchandisers,"“With robust capital investments in both our infrastructure and technology, we expect to further boost productivity and create additional fuel for our business,” CFO Jim Lee said during the call. “We know those tech investments pay off with stronger experience, whether that’s digital or in store, when we’re setting up our team to free up tasks so that they can support our guests even more,” said Fiddelke.",Target fuels AI in $2B spending plan,https://www.ciodive.com/news/target-AI-investments-michael-fiddelke/813839/,3/4/26,Trade coverage / earnings-call reporting,1,Yes,Yes,Augmentation/internal workflow use,High,Yes,Direct quotes from executive leadership highlighting that AI is allowing workers to serve customers better without displacing them,"the
and
of
to
in
for
with
on
at
by
from
it
this
that
these
those
is
are
was
were
be
been
being
have
has
had
can
could
should
may
might
will
would
we
our
they
their
them
its
a
an
as
or
but
if
than
then
into
over
under
across
through
while
also
more
most
some
each
every
all
both
much
many
after
around
toward
towards
Target
Michael
Fiddelke
COO
CEO
Prat
Vemana
ChatGPT
November
February
2022
2024
2026
company
retail
retailer
retail giant
leaders
industry
companies
customers
guests
team
associates
employee
employees
operations
operation
efforts
changes
title
current
joined
introduced
declared
year
years
last
next
full
fiscal
said
expects
expecting
help
working
led
roll
roll out
deployment
deploy
rush
wider
alone
strategy
Insight
Dive
focused
one
four","adjusting
counter
streak
poor
sales
shifting
expectations
economic
uncertainty
ability
turn
ship
around
technology
investments
AI
improve
retention
pay
off
stronger
experience
digital
store
setting
free
tasks
support
net
decrease
reflected
comparable
metric
turnaround
forecasted
grow
data
science
automation
internally
generative
capabilities
companion
chatbot
answers
on-the-job
training
management
shopping
app
personalized
suggestions
fueled
transformation
agentic
streamlined
lineup
super
agents",,,AG
Target,41,General Merchandisers,"AI is threatening corporate jobs worldwide, but Target says its tech workers can't be replaced with chatbots.""We have a really good system in place that is actually putting the right work in the right place, but also driving the changes that we need,"" he said.""It's not location-specific — it's the culture that we are building,"" he added, referring to the adoption of AI throughout the enterprise among coders, data scientists, cybersecurity monitors, and more.",Target’s Tech Chief Says AI Isn’t Replacing the Company’s Workers,https://www.businessinsider.com/target-tech-chief-says-ai-not-replacing-workers-2026-3,3/5/26,Business press / executive interview,2,Yes,Yes,Augmentation/internal workflow use,High,Yes,Another eecutive reaffirming how AI is supporting workflows.,"the
and
of
to
in
for
with
on
at
by
from
it
this
that
these
those
is
are
was
were
be
been
being
have
has
had
can
could
should
may
might
will
would
we
our
they
their
them
its
a
an
as
or
but
if
than
then
into
over
under
across
through
while
also
more
most
some
each
every
all
both
much
many
after
ahead
throughout
among
like
really
actually
now
already
Target
Prat
Vemana
Michael
Fiddelke
Business
Insider
Minnesota
Minneapolis
New
York
California
Georgia
Bangalore
India
CEO
company
retailer
corporate
offices
headquarters
teams
workers
employees
workforce
system
place
culture
enterprise
area
year
last
month
week
time
18
said
told
see
doing
added
referring
made
create
show
need
task","threatening
jobs
worldwide
tech
replaced
chatbots
unveiled
ambitious
turnaround
scale
global
growth
agenda
capability
center
cuts
room
invest
store
shrinking
driving
adoption
coders
data
scientists
cybersecurity
monitors
coding
companions
transformational
overhauling
mobile
app
existentially
important
business
slew
features
existing
elements
rebuilt
emerging
demands
shopping
companions
rewritten
entire
reclaiming
merchandising
authority
improving
experience
difficult
significant
support
move
faster
bolder
experiment
roadmap
AI",,,AG
Dow,103,Chemicals,"announced a comprehensive plan to simplify how it operates and streamline its end-to-end processes. The Company will also reset its cost structure and modernize how it serves customers. The Company will also reset its cost structure and modernize how it serves customers. Transform to Outperform targets the addition of at least $2 billion in near-term Op. EBITDA, in part by utilizing AI and automation to deliver step change in growth and productivity and improve shareholder returns.",Dow launches Transform to Outperform to raise the competitive industry benchmark for productivity and growth to enable improved returns,https://corporate.dow.com/en-us/news/press-releases/dow-launches-transform-to-outperform-to-raise-the-competitive-in.html,1/29/26,Corporate press release,1,No,Yes,Automating tasks,Medium,Yes,"statement points much more toward AI/automation taking over workflow steps than toward AI as a support tool for employees.Even though the language is PR friendly the core idea is thaty “AI and automation help Dow simplify operations, cut costs, and reduce roles.”","the
and
of
to
in
for
with
on
at
by
from
it
this
that
these
those
is
are
was
were
be
been
being
have
has
had
can
could
should
may
might
will
would
we
our
they
their
them
its
a
an
as
or
but
if
than
then
into
over
under
across
through
while
also
more
most
some
each
every
all
both
much
many
already
current
ongoing
continued
today
near-term
long-term
year
in-year
incremental
approximately
least
including
other
local
each
every
Dow
Company
Transform
Outperform
NYSE
DOW
MIDLAND
Mich
Karen
Carter
Jim
Fitterling
CEO
chief
chair
officer
team
stakeholders
region
regulations
consultation
announced
said
targets
targeting
expects
anticipates
represents
established
implements
engage
provide
addition
levels
program
benefits
benefit
goals
goal
commitment
focus
work
actions
measures
efforts
taken
current
one-time
costs
cost
cash
achieve
year
2025
2026
2027
2028
MM
billion
million
0
300
500
600
700
800
1000
1200
1100
1500","launches
raise
competitive
industry
benchmark
productivity
growth
enable
improved
returns
improvement
radically
simplify
operating
model
streamline
processes
reset
structure
modernize
serves
customers
utilizing
automation
deliver
step
shareholder
simpler
efficient
achieve
significant
gains
elevate
position
building
momentum
self-help
transforming
resilient
delivers
customer
success
value
cycle
intensive
analysis
guide
uplift
projections
thirds
improvements
severance
roles
simplification
gets
done
ensuring
global
leadership
leveraging
best-in-class
cross-industry
leading-edge
further
accelerate
address
prolonged
trough
structural
challenges
safe
reliable
operations
driving
increased
accountability
continuous
compliance",,,AG
Dow,103,Chemicals,"Dow (DOW.N), opens new tab will slash about 4,500 jobs, or ‌13% of its total workforce, under a sweeping restructuring aimed at boosting profitability by at least $2 billion, while projecting first-quarter revenue below expectations on stubbornly weak demand. The job cuts will also ‌reduce third-party roles and resources, executives said on a post-earnings call, ​as the company streamlines all its end-to-end work processes by using automation and AI to lower costs and improve efficiency.","Dow to cut 4,500 jobs, forecasts weak revenue amid sluggish demand",https://www.reuters.com/sustainability/chemicals-maker-dow-eliminate-4500-roles-targets-2-billion-core-profit-boost-2026-01-29/,1/29/26,Trade coverage,2,No,Yes,Automating tasks,High,Yes,"Strong corroborating source that ties the job cuts to automation and AI as part of a savings plan. It also adds that this follows earlier layoffs, showing a multi-stage headcount reduction strategy.","the
and
of
to
in
for
with
on
at
by
from
it
this
that
these
those
is
are
was
were
be
been
being
have
has
had
can
could
should
may
might
will
would
we
our
they
their
them
its
a
an
as
or
but
if
than
then
into
over
under
across
through
while
also
more
most
some
each
every
all
both
much
many
about
around
under
amid
below
above
during
before
after
Jan
Reuters
Dow
DOW.N
Jim
Fitterling
CEO
Thursday
morning
post-earnings
call
advertisement
Europe
European
Michigan-based
LSEG
company
companies
executives
people
workforce
roles
resources
assets
portfolio
sites
countries
business
business units
year
quarter
first-quarter
2024
2026
2027
29
34,600
4,500
13%
5.8%
$2
$500
$1
$1.1
$1.5
$9.4
$10.33
34
46
billion
million
cents
said
expects
expect
reported
forecast
according
compiled
began
begun
detail
planned
average
estimate
compared","slash
jobs
sweeping
restructuring
aimed
boosting
profitability
projecting
revenue
expectations
cuts
reduce
third-party
streamlines
end-to-end
processes
automation
AI
lower
costs
improve
efficiency
chemical
producers
reassessing
strategies
stagnant
demand
rising
production
changing
regulatory
requirements
persistent
global
oversupply
strategic
review
re-evaluating
ownership
non-core
power
steam
production
pipelines
deliver
remaining
cost
savings
program
incur
one-time
tied
affected
reductions
downbeat
net
sales
analysts
modest
seasonal
improvements
benefits
controls
offset
maintenance
continued
downward
pressure
building
construction
market
smaller-than-expected
adjusted
loss\",,,AG
McKesson,9,Wholesalers: Health Care,"“The internal McKesson Technology team is at the forefront of driving digital transformation, including the adoption and integration of artificial intelligence (AI) to deliver measurable value across the organisation."" 
""Execute and support the transition of AI pilots and prototypes into fully operational, integrated solutions.” “Support the development of a robust AI capability within McKesson Technology.” ","Senior AI/ML Engineer, AI Lab (Within job description)",https://careers.mckesson.com/en/job/cork/senior-ai-ml-engineer-ai-lab/733/94547128528,04/29/2026,HR/careers page,1,Yes,No,Augmentation/internal workflow use,,Yes,talks about the adoption of AI and integrating that into internal AI Workflow,"McKesson
AI
Engineer
Lab","internal, pilot, operational, workflow",,,NL
Mckesson,9,Wholesalers: Health Care,“Discover how AI-driven tools like Glide Health are revolutionizing healthcare claims management and prior authorization processes.” ,Reducing Administrative Burden with AI Tools,https://www.mckesson.com/stories-insights/reducing-administrative-burden-with-ai-tools/,"February 25, 2026",Company blog / newsroom article,1,Yes,Yes,Augmentation/internal workflow use,,Yes,integrating AI for internal workflow but also autmoating more administrative tasks,"McKesson, AI, administrative, burden","streamline, automate, reduce, provider",,,NL
Mckesson,9,Wholesalers: Health Care,"“We’re harnessing the power of advanced AI tools to directly address the administrative burden faced by healthcare practices”; “more than 1,000 providers across The Network are using the technology to capture clinical conversations seamlessly and automatically”; “CoverMyMeds is using AI-driven automation”",Reducing Administrative Burden with AI Tools,https://www.mckesson.com/stories-insights/reducing-administrative-burden-with-ai-tools/,02/25/2026,Company blog / newsroom article,2,Yes,Yes,Automating tasks,,Yes,They are using AI to primarily tackle the administrative burden within healthcare and automate those tasks,"McKesson, AI, administrative, burden","streamline, automate, reduce, provider",,,NL
Mckesson,9,Wholesalers: Health Care,“The internal McKesson Technology team is at the forefront of driving digital transformation”; “Define and agree success metrics and KPIs for each use case”; “Track and report on benefits realisation”,AI & Automation Senior Business Analyst,https://careers.mckesson.com/en/job/cork/ai-and-automation-senior-business-analyst-mckesson-technology/733/91203382384,03/18/2026,HR/careers page,2,Yes,Yes,Augmentation/internal workflow use,,Yes,"WIthin the job description, the company emphasizes their initiative to utilize and incoorporate AI in their digital transformation process","McKesson, AI, automation, analyst","stakeholder, opportunities, business, translate",,,NL
Cencora,10,Wholesalers: Health Care,"“Effective workflow integration can help biopharma companies overcome the barriers to patient support program uptake.” “Cencora’s analysis found that completing a data intake fax workflow can take patient support program staff 20 to 40 minutes.” “Our workflow integration solution offers connectivity that spans multiple provider workflow technologies to deliver an in-workflow, digitized enrollment process.”",The promise and challenges of workflow integration for patient support programs,https://www.cencora.com/resources/pharma/promise-and-challenges-of-workflow-integration,2025? Doesn't specify,Company blog / newsroom article,1,Yes,Yes,Augmentation/internal workflow use,,Yes,This also touches on both workflow integration and automating more administrative tasks within the healthcare practice to improve patient healthcare services,"Cencora, workflow, integration, support","enrollment, portal, fax, provider",,,NL
Cencora,10,Wholesalers: Health Care,"“tasks that once took months can now be completed in weeks”; “transform[s] manual quality assurance into a scalable, repeatable process integrated seamlessly within AI workflows”; “By automating these validation processes, AI allows researchers to focus on higher-value tasks” ",Reshaping patient and treatment insights with RWE and AI,https://www.cencora.com/resources/pharma/reshaping-patient-and-treatment-insights,2025? Doesn't specify,Company blog / newsroom article,1,Yes,Yes,Automating tasks,,Yes,This talks about how AI can be utilized to complete more mundane or transactional tasks that used to take up a lot of time,"Cencora, AI, RWE, insights","automate, validate, efficiencies, human",,,NL
Cencora,10,Wholesalers: Health Care,"“Within Cencora, for example, we are building internal AI systems to quickly draft numerous types of reports”; “Content reuse between different HTA agencies is also ripe for automation.” ",The transformative potential of AI in supporting health economic modeling,https://www.cencora.com/resources/pharma/the-transformative-potential-of-ai-in-supporting-health-economic-modeling,2025? Doesn't specify,Company blog / newsroom article,2,Yes,Yes,Augmentation/internal workflow use,,Yes,Using AI within internal workflow but also leveraging it to automate/build internal systems,"Cencora, AI, economic, modeling","automate, validate, efficiency, human",,,NL
Cencora,10,Wholesalers: Health Care,"“calls … are automated, saving valuable time for Cencora workers”; “Cencora can hire fewer seasonal workers” ",Cencora accelerates patient access with Infinitus,https://www.infinitus.ai/case-studies/cencora-patient-services/,11/23/2205,Editorial / case-study coverage,2,No,Yes,Automating tasks,,Yes,Automating tasks results in layoffs and being able to hire less workers within the company,"Cencora, patient, access, benefit","automate, workers, seasonal, verification",,,NL
Cigna Group,13,Health Care: Pharmacy and Other Services,"“Cigna sometimes uses an artificial intelligence tool called Fit Score… to support our hiring processes for U.S.-based roles.” “Fit Score screens applications…” “Our recruitment and hiring processes are always human-led, and humans alone make decisions…” ",Notice About AI Use,https://jobs.thecignagroup.com/ai-use,03/16/2026,HR/careers page,1,Yes,Yes,Augmentation/internal workflow use,,Yes,"This addresses their use of AI within the hiring process, touching on integrating AI in the workflow hiring process but still having humans make decisions","Cigna, AI, use, human","augmented, replace, governance, support",,,NL
Cigna Group,13,Health Care: Pharmacy and Other Services,"“Cigna scales equitable, personalized learning to 70,000 employees—boosting productivity, engagement, and workforce growth” ","Cigna Connects Learning, Skills, and Performance with Degreed",https://degreed.com/experience/success-stories/learning-at-scale-learning-cigna/,05/20/2025,Editorial / case-study coverage,1,Yes,No,Augmentation/internal workflow use,,Yes,This talks about initiatives to improve AI literacy within the workplace to improve workflow and AI augmentation,"Cigna, learning, employee, degreed","work, smarter, growth, scalable",,,NL
Cigna Group,13,Health Care: Pharmacy and Other Services,"“Cigna plans to lay off roughly 2,000 employees, just under 3% of the company’s workforce, to cut costs by the end of February.” “Cigna launched an initiative to streamline its operations — including by cutting down its workforce — in the first quarter last year…” ","Cigna to lay off 2,000 workers worldwide",https://www.healthcaredive.com/news/cigna-layoffs-2000-workers-worldwide/811844/,02/10/2026,Editorial / case-study coverage,2,No,Yes,General corporate strategy,,Yes,This discusses how the company plans to cut thousands of employees to cut down costs to improve efficiency with tools like AI but doesn't explicitly say which roles will be impacted,"Cigna, layoffs, workers, workforce","reduce, efficiency, roles, transition",,,NL
Cigna Group,13,Health Care: Pharmacy and Other Services,"“As we drive greater efficiency across our business, we have made the difficult decision to reduce roles in our workforce.” “This decision was made with deliberate care and focus…”","Bloomfield-Based Cigna To Cut 2,000 Jobs By End Of Month",https://www.aol.com/news/bloomfield-based-cigna-cut-2-192826961.html,02/13/2026,Editorial / case-study coverage,2,No,Yes,General corporate strategy,,,This also discusses how the company plans to cut thousands of employees to cut down costs while increasing efficiency,"Cigna, layoffs, workforce, efficiency","reduce, roles, transition, package",,,NL
Boeing,63,Aerospace & Defense,"“It feels like having another expert on your team,” said Chrysilla, referring to Code Assistant. Boeing says it has “70-plus generative AI applications crafted to boost employee productivity.” “The GenAI Academy has trained 8,000 employees, certifying 2,600 super users.” “Across offices, AI co-pilots can save employees up to two hours daily.”",Shaping AI for the Sky,,12/17/25,Company blog ,1,Yes,Yes,Augmentation/internal workflow use,High,Yes,"directly describes employee-facing AI tools, productivity gains, and workforce upskilling at scale. Also mentions automation but no underlying labor logic.",,,,,AG
Boeing,63,Aerospace & Defense,AI and virtual/mixed reality “will enhance and augment training to transform aviation workforce preparedness.” ,"Boeing Forecasts 20-Year Global Demand for Nearly 2.4 Million New Commercial Pilots, Technicians, Cabin Crew",https://investors.boeing.com/investors/news/press-release-details/2025/Boeing-Forecasts-20-Year-Global-Demand-for-Nearly-2-4-Million-New-Commercial-Pilots-Technicians-Cabin-Crew/default.aspx,7/22/25,Corporate press release,2,Yes,Yes,Augmentation/internal workflow use,High,Yes,Good source on upskilling and workforce transformation. It suggests AI is being used to prepare workers and automation is suppporting that too.,,,,,AG
Costco,12,Retail / Membership Warehouse,"As Brenda Weber of Costco put it, “If it misses the nuance and gives the wrong advice, I don’t get to blame my twin.” Still, AI is being used for preparation and simulation, from interview screening to board Q&A rehearsal. The line is clear: AI can assist, but accountability stays with the human.","What Retail CHROs are Doing About AI, Skills, and the Future of Work",https://www.i4cp.com/productivity-blog/what-retail-chros-are-doing-about-ai-skills-and-the-future-of-work,"February 12, 2026",Editorial / case-study coverage,2,Yes,Yes,General corporate strategy,Medium,No,"Again very general takes on what Costco is doing, but still very much leaning towards augmentation. ",,,,,
Costco,12,Retail / Membership Warehouse,"""AI is also being interwoven into our business where we believe it can strengthen our model. We're approaching it in a very Costco way, practical, member-focused and grounded in tangible business value."" 

 ""An early use case has involved integrating AI into our pharmacy inventory system. This system now compares prescription drug pricing across vendors and autonomously and predictively reorders inventory, improving our in-stocks to more than 98%."" 

 ""These productivity improvements fully offset wage investments and the impact of extended operating hours."" (CFO Millerchip)",Costco approaching AI in 'very Costco way',https://www.constellationr.com/insights/news/costco-approaching-ai-very-costco-way,"December 15, 2025",Trade coverage ,1,Yes,Yes,Both auto/aug,Medium,No,"CEO framing is strongly augmentation-coded (""practical, member-focused"") but pharmacy use case is explicitly autonomous task takeover. CFO's ""productivity offsets wages"" is a soft labor-demand signal without explicit headcount language. Recommend also pulling the Q1 FY2026 earnings call transcript directly to verify quotes and check for additional labor-demand language. Code: Hybrid",,,,,
